MovieID,Rating,Title,Genres
1193,5,One Flew Over the Cuckoo's Nest (1975),Drama
48,5,Pocahontas (1995),Animation|Children's|Musical|Romance
938,4,Gigi (1958),Musical
1207,4,To Kill a Mockingbird (1962),Drama
1721,4,Titanic (1997),Drama|Romance
2762,4,"Sixth Sense, The (1999)",Thriller
2687,3,Tarzan (1999),Animation|Children's
2692,4,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
720,3,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
745,3,"Close Shave, A (1995)",Animation|Comedy|Thriller
595,5,Beauty and the Beast (1991),Animation|Children's|Musical
1961,5,Rain Man (1988),Drama
527,5,Schindler's List (1993),Drama|War
1097,4,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi
2804,5,"Christmas Story, A (1983)",Comedy|Drama
2018,4,Bambi (1942),Animation|Children's
608,4,Fargo (1996),Crime|Drama|Thriller
1962,4,Driving Miss Daisy (1989),Drama
1287,5,Ben-Hur (1959),Action|Adventure|Drama
588,4,Aladdin (1992),Animation|Children's|Comedy|Musical
1246,4,Dead Poets Society (1989),Drama
914,3,My Fair Lady (1964),Musical|Romance
1197,3,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
260,4,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
2797,4,Big (1988),Comedy|Fantasy
3186,4,"Girl, Interrupted (1999)",Drama
1035,5,"Sound of Music, The (1965)",Musical
2294,4,Antz (1998),Animation|Children's
661,3,James and the Giant Peach (1996),Animation|Children's|Musical
1566,4,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical
2340,3,Meet Joe Black (1998),Romance
1270,5,Back to the Future (1985),Comedy|Sci-Fi
2028,5,Saving Private Ryan (1998),Action|Drama|War
150,5,Apollo 13 (1995),Drama
2918,4,Ferris Bueller's Day Off (1986),Comedy
2398,4,Miracle on 34th Street (1947),Drama
1029,5,Dumbo (1941),Animation|Children's|Musical
2791,4,Airplane! (1980),Comedy
531,4,"Secret Garden, The (1993)",Children's|Drama
594,4,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
1,5,Toy Story (1995),Animation|Children's|Comedy
1836,5,"Last Days of Disco, The (1998)",Drama
1545,4,Ponette (1996),Drama
2355,5,"Bug's Life, A (1998)",Animation|Children's|Comedy
919,4,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
783,4,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical
1022,5,Cinderella (1950),Animation|Children's|Musical
2321,3,Pleasantville (1998),Comedy
3408,4,Erin Brockovich (2000),Drama
1907,4,Mulan (1998),Animation|Children's
1028,5,Mary Poppins (1964),Children's|Comedy|Musical
3114,4,Toy Story 2 (1999),Animation|Children's|Comedy
3105,5,Awakenings (1990),Drama
235,3,Ed Wood (1994),Comedy|Drama
2278,3,Ronin (1998),Action|Crime|Thriller
647,3,Courage Under Fire (1996),Drama|War
3147,5,"Green Mile, The (1999)",Drama|Thriller
1955,4,Kramer Vs. Kramer (1979),Drama
2006,3,"Mask of Zorro, The (1998)",Action|Adventure|Romance
2916,3,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
2943,4,Indochine (1992),Drama|Romance
3678,3,"Man with the Golden Arm, The (1955)",Drama
1244,3,Manhattan (1979),Comedy|Drama|Romance
1957,5,Chariots of Fire (1981),Drama
163,4,Desperado (1995),Action|Romance|Thriller
2028,4,Saving Private Ryan (1998),Action|Drama|War
356,5,Forrest Gump (1994),Comedy|Romance|War
1690,3,Alien: Resurrection (1997),Action|Horror|Sci-Fi
648,4,Mission: Impossible (1996),Action|Adventure|Mystery
2194,4,"Untouchables, The (1987)",Action|Crime|Drama
1124,5,On Golden Pond (1981),Drama
1225,5,Amadeus (1984),Drama
1210,4,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
3071,4,Stand and Deliver (1987),Drama
3030,4,Yojimbo (1961),Comedy|Drama|Western
1917,3,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller
3255,4,"League of Their Own, A (1992)",Comedy|Drama
1246,5,Dead Poets Society (1989),Drama
2396,4,Shakespeare in Love (1998),Comedy|Romance
1084,3,Bonnie and Clyde (1967),Crime|Drama
3471,5,Close Encounters of the Third Kind (1977),Drama|Sci-Fi
1357,5,Shine (1996),Drama|Romance
318,5,"Shawshank Redemption, The (1994)",Drama
2881,3,Double Jeopardy (1999),Action|Thriller
3735,3,Serpico (1973),Crime|Drama
1953,4,"French Connection, The (1971)",Action|Crime|Drama|Thriller
1597,3,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller
2236,5,Simon Birch (1998),Drama
2490,3,Payback (1999),Action|Thriller
3068,4,"Verdict, The (1982)",Drama
3809,3,What About Bob? (1991),Comedy
1537,4,Shall We Dance? (Shall We Dansu?) (1996),Comedy
1954,5,Rocky (1976),Action|Drama
3578,5,Gladiator (2000),Action|Drama
1090,2,Platoon (1986),Drama|War
368,4,Maverick (1994),Action|Comedy|Western
920,5,Gone with the Wind (1939),Drama|Romance|War
2002,5,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
292,3,Outbreak (1995),Action|Drama|Thriller
2728,3,Spartacus (1960),Drama
498,3,Mr. Jones (1993),Drama|Romance
459,3,"Getaway, The (1994)",Action
1527,4,"Fifth Element, The (1997)",Action|Sci-Fi
1408,3,"Last of the Mohicans, The (1992)",Action|Romance|War
480,5,Jurassic Park (1993),Action|Adventure|Sci-Fi
780,3,Independence Day (ID4) (1996),Action|Sci-Fi|War
1792,3,U.S. Marshalls (1998),Action|Thriller
3418,4,Thelma & Louise (1991),Action|Drama
3095,4,"Grapes of Wrath, The (1940)",Drama
1103,3,Rebel Without a Cause (1955),Drama
1188,4,Strictly Ballroom (1992),Comedy|Romance
3256,2,Patriot Games (1992),Action|Thriller
1385,3,Under Siege (1992),Action
3451,4,Guess Who's Coming to Dinner (1967),Comedy|Drama
1687,3,"Jackal, The (1997)",Action|Thriller
21,1,Get Shorty (1995),Action|Comedy|Drama
1096,4,Sophie's Choice (1982),Drama
1247,5,"Graduate, The (1967)",Drama|Romance
3257,3,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller
165,3,Die Hard: With a Vengeance (1995),Action|Thriller
515,5,"Remains of the Day, The (1993)",Drama
589,4,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
380,5,True Lies (1994),Action|Adventure|Comedy|Romance
1784,5,As Good As It Gets (1997),Comedy|Drama
442,3,Demolition Man (1993),Action|Sci-Fi
1293,5,Gandhi (1982),Drama
3468,5,"Hustler, The (1961)",Drama
2501,5,October Sky (1999),Drama
349,4,Clear and Present Danger (1994),Action|Adventure|Thriller
1245,2,Miller's Crossing (1990),Drama
2268,5,"Few Good Men, A (1992)",Crime|Drama
457,4,"Fugitive, The (1993)",Action|Thriller
